2.125249294004083822e+03,4.941204461466774774e+03
3.820824754841540653e+03,2.367629338626799836e+03
3.087789519558918983e+03,2.361646142512018287e+03
3.342551788406165997e+03,1.628585706633600694e+02
1.748405622318071664e+03,5.661883861167366376e+02
7.922001662243410465e+02,2.879981064175524352e+02
3.715593668509074178e+03,3.997448148365587258e+03
2.737098629181512933e+03,1.340332911416197248e+03
3.309424412143358040e+03,3.577603538684149044e+03
8.247904452119436201e+02,4.214213970702814549e+03
